"uniqueIdentifier","governsId","satisfiesId","mitigatesId","createdById","text"
"EXE-LLR-1","ExecutiveThread",null,null,null,"Executive shall spawn Input Thread on powerup."
"EXE-LLR-2","ExecutiveThread",null,null,null,"Executive shall spawn Output Thread on powerup."
"EXE-LLR-3","ExecutiveThread",null,null,null,"Executive shall print a single '.' character to the console every second when running."
"HLR-1","Counter Application","Sys-1","H-1.2",null,"The Computer shall increment the counter when a inflow event is received and the counter is less than max int."
"HLR-2","Counter Application","Sys-2","H-1.1",null,"The Computer shall decrement the counter when a outflow event is received and the counter is greater than 0."
"HLR-3","Counter Application","Sys-3",null,null,"The Computer shall publish the counter at a 1 htz rate."
"IN-GATE-1","In Gate","Sys-1",null,null,"The Gate shall permit only one person at a time."
"IN-GATE-2","In Gate","Sys-1","H-2",null,"The Gate shall be disabled when the maximum census is reached."
"IN-GATE-3","In Gate","Sys-1",null,null,"The Gate shall report when a person is admitted."
"IN-LLR-1","InputThread",null,null,null,"Input Thread shall initialize the park_count to 0 on powerup."
"IN-LLR-2","InputThread","HLR-1",null,null,"Input Thread shall check for a incoming UDP message on port 62000."
"IN-LLR-2","InputThread","HLR-2",null,null,"Input Thread shall check for a incoming UDP message on port 62000."
"IN-LLR-3","InputThread","HLR-1",null,null,"Input Thread shall add the delta value received by the UDP to the park_count and send the updated park_count to the Output Thread when a valid UDP message is received and the park_count range is not exceed."
"IN-LLR-3","InputThread","HLR-2",null,null,"Input Thread shall add the delta value received by the UDP to the park_count and send the updated park_count to the Output Thread when a valid UDP message is received and the park_count range is not exceed."
"IN-LLR-4","InputThread",null,null,null,"Input Thread shall limit park_count to between 0 and 1500."
"IN-LLR-5","InputThread",null,null,null,"Input Thread shall print 'Invalid Message' to the console when a invalid UDP message is received."
"IN-LLR-6","InputThread",null,null,null,"Input Thread shall print 'Limit Exceeded'' to the console when a valid UDP message is received and the park_count range is exceed."
"OUT-LLR-1","OutputThread",null,null,null,"Output Thread shall initialize the park_count to 0 on powerup."
"OUT-LLR-2","OutputThread","HLR-3",null,null,"Output Thread shall broadcast a UDP message on port 62001 with the park_count every second."
"Sys-1","TurnStileSystem",null,null,null,"Turnstile system shall track the number of people that travel through the in gate."
"Sys-2","TurnStileSystem",null,null,null,"Turnstile system shall track the number of people that travel through the out gate.	"
"Sys-3","TurnStileSystem",null,null,null,"Turnstile system shall track the number of people are currently in the park."

